Illinois,E85,"822,300",2021
Illinois,CNG,800,2021
Illinois,Propane,100,2021
Illinois,Hydrogen,0,2021
Illinois,Methanol,0,2021
Illinois,Gasoline,"8,657,800",2021
Illinois,Diesel,"169,900",2021
Illinois,Unknown Fuel,"59,600",2021
Indiana,EV,"10,400",2021
Indiana,PHEV,"7,500",2021
Indiana,HEV,"88,200",2021
Indiana,Biodiesel,"41,100",2021
Indiana,E85,"587,400",2021
Indiana,CNG,800,2021
Indiana,Propane,100,2021
Indiana,Hydrogen,0,2021
Indiana,Methanol,0,2021
Indiana,Gasoline,"5,149,000",2021
Indiana,Diesel,"151,600",2021
Indiana,Unknown Fuel,"61,000",2021
Iowa,EV,"3,700",2021
Iowa,PHEV,"3,600",2021
Iowa,HEV,"42,500",2021
Iowa,Biodiesel,"31,100",2021
Iowa,E85,"343,600",2021
Iowa,CNG,300,2021
Iowa,Propane,0,2021
Iowa,Hydrogen,0,2021
Iowa,Methanol,0,2021
Iowa,Gasoline,"2,525,400",2021
Iowa,Diesel,"100,900",2021
Iowa,Unknown Fuel,"59,600",2021
Kansas,EV,"4,500",2021
Kansas,PHEV,"3,300",2021
Kansas,HEV,"38,300",2021
Kansas,Biodiesel,"21,400",2021
Kansas,E85,"260,900",2021
Kansas,CNG,400,2021
Kansas,Propane,100,2021
Kansas,Hydrogen,0,2021
Kansas,Methanol,0,2021
Kansas,Gasoline,"2,158,100",2021
Kansas,Diesel,"85,900",2021
Kansas,Unknown Fuel,"19,900",2021
Kentucky,EV,"4,200",2021
Kentucky,PHEV,"3,100",2021
Kentucky,HEV,"48,300",2021
Kentucky,Biodiesel,"27,100",2021
Kentucky,E85,"365,800",2021
Kentucky,CNG,600,2021
Kentucky,Propane,0,2021
Kentucky,Hydrogen,0,2021
Kentucky,Methanol,0,2021
Kentucky,Gasoline,"3,422,900",2021
Kentucky,Diesel,"116,200",2021
Kentucky,Unknown Fuel,"28,300",2021
Louisiana,EV,"3,200",2021
Louisiana,PHEV,"2,000",2021
Louisiana,HEV,"26,000",2021
Louisiana,Biodiesel,"54,400",2021
Louisiana,E85,"413,200",2021
Louisiana,CNG,300,2021
Louisiana,Propane,0,2021
Louisiana,Hydrogen,0,2021
Louisiana,Methanol,0,2021
Louisiana,Gasoline,"3,185,200",2021
Louisiana,Diesel,"115,000",2021
Louisiana,Unknown Fuel,"20,700",2021
Maine,EV,"3,000",2021
Maine,PHEV,"4,200",2021
Maine,HEV,"25,500",2021
Maine,Biodiesel,"9,100",2021
Maine,E85,"112,200",2021
Maine,CNG,100,2021
Maine,Propane,0,2021
Maine,Hydrogen,0,2021
Maine,Methanol,0,2021
Maine,Gasoline,"1,044,300",2021
Maine,Diesel,"27,400",2021
Maine,Unknown Fuel,"8,900",2021
Maryland,EV,"25,600",2021
Maryland,PHEV,"17,200",2021
Maryland,HEV,"130,900",2021
Maryland,Biodiesel,"27,700",2021
Maryland,E85,"347,200",2021
Maryland,CNG,400,2021
Maryland,Propane,0,2021
Maryland,Hydrogen,0,2021
Maryland,Methanol,0,2021
Maryland,Gasoline,"4,380,600",2021
Maryland,Diesel,"89,500",2021
Maryland,Unknown Fuel,"32,100",2021
Massachusetts,EV,"30,500",2021
Massachusetts,PHEV,"22,200",2021
Massachusetts,HEV,"138,800",2021
Massachusetts,Biodiesel,"17,500",2021
Massachusetts,E85,"306,900",2021
Massachusetts,CNG,400,2021
Massachusetts,Propane,0,2021
Massachusetts,Hydrogen,0,2021
Massachusetts,Methanol,0,2021
Massachusetts,Gasoline,"4,816,400",2021
Massachusetts,Diesel,"59,700",2021
Massachusetts,Unknown Fuel,"30,800",2021
Michigan,EV,"17,500",2021
Michigan,PHEV,"17,200",2021
Michigan,HEV,"106,400",2021
Michigan,Biodiesel,"52,100",2021
Michigan,E85,"912,200",2021
Michigan,CNG,500,2021
Michigan,Propane,100,2021
Michigan,Hydrogen,0,2021
Michigan,Methanol,0,2021
Michigan,Gasoline,"7,067,400",2021
Michigan,Diesel,"173,200",2021
Michigan,Unknown Fuel,"51,600",2021
Minnesota,EV,"15,000",2021
Minnesota,PHEV,"8,900",2021
Minnesota,HEV,"95,200",2021
Minnesota,Biodiesel,"40,100",2021
Minnesota,E85,"548,700",2021
Minnesota,CNG,300,2021
Minnesota,Propane,0,2021
Minnesota,Hydrogen,0,2021
Minnesota,Methanol,0,2021
Minnesota,Gasoline,"4,342,800",2021
Minnesota,Diesel,"128,700",2021
Minnesota,Unknown Fuel,"29,800",2021
Mississippi,EV,"1,300",2021
Mississippi,PHEV,"1,100",2021
Mississippi,HEV,"18,700",2021
Mississippi,Biodiesel,"27,400",2021
Mississippi,E85,"305,000",2021
Mississippi,CNG,200,2021
Mississippi,Propane,0,2021
Mississippi,Hydrogen,0,2021
Mississippi,Methanol,0,2021
Mississippi,Gasoline,"2,289,900",2021
Mississippi,Diesel,"76,000",2021
Mississippi,Unknown Fuel,"9,600",2021
Missouri,EV,"10,000",2021
Missouri,PHEV,"7,200",2021
Missouri,HEV,"85,600",2021
Missouri,Biodiesel,"55,800",2021
Missouri,E85,"602,500",2021
Missouri,CNG,"1,800",2021
Missouri,Propane,100,2021
Missouri,Hydrogen,0,2021
