Manufacturer,Model,Vehicle Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Hyundai,Tuscon Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,1681,22790,35636,45348
Jaguar,I-PACE,EV,0,0,0,0,0,0,0,393,2594,1946,1415,439,509,2886
Jeep,Grand Cherokee 4xe,PHEV,0,0,0,0,0,0,0,0,0,0,0,4355,41580,47553
Jeep,Wrangler 4xe,PHEV,0,0,0,0,0,0,0,0,0,0,3069,23583,26619,33256
Jeep,Wagoneer S,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,231
Kia,EV6,EV,0,0,0,0,0,0,0,0,0,0,0,20498,18879,21715
Kia,EV9,EV,0,0,0,0,0,0,0,0,0,0,0,0,1118,22017
Kia,Niro EV  & Plug-in Hybrid,EV,0,0,0,0,0,0,0,0,1562,1395,2619,3737,6171,6621
Kia,Optima Plug-in Hybrid,PHEV,0,0,0,0,0,0,1512,965,350,0,0,0,0,0
Kia,Sorrento Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,1227,11233,15066,20934
Kia,Soul EV,EV,0,0,0,359,1015,1728,2157,1134,114,0,0,0,0,0
Kia,Sportage Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,3590,35622
Land Rover,Range Rover Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,169,1119,1729,1690,2718,4876
Land Rover,Range Rover Sport Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,232,1604,2134,1139,1945,4516
Lexus,NX 450h+,PHEV,0,0,0,0,0,0,0,0,0,0,18,3507,5265,6301
Lexus,RX 450h+,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,656,4248
Lexus,RZ,EV,0,0,0,0,0,0,0,0,0,0,0,0,5386,9697
Lexus,TX 550h+,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,502
Lincoln,Aviator Grand Touring,PHEV,0,0,0,0,0,0,0,0,0,277,2092,2857,2644,0
Lincoln,Corsair Grand Touring,PHEV,0,0,0,0,0,0,0,0,0,0,2279,3597,4145,6053
Lucid,Air,EV,0,0,0,0,0,0,0,0,0,0,0,1949,3142,3449
Mazda,MX-30,EV,0,0,0,0,0,0,0,0,0,0,181,324,100,0
Mazda,CX-70 Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,352
Mazda,CX-90 Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,786,12029
Mercedes,B-class Plug-in Hybrid,PHEV,0,0,0,774,1906,632,744,135,9,0,0,0,0,0
Mercedes,C-class Plug-in Hybrid,PHEV,0,0,0,0,0,171,817,1721,2172,2103,3081,3404,5979,7830
Mercedes,G-class Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,363
Mercedes,S-class Plug-in Hybrid,PHEV,0,0,0,0,118,550,666,96,371,687,1428,2070,2010,1938
Mercedes,GLC-class Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,567,2459,4210,0,0,0,0
Mercedes,GLE-class Plug-in Hybrid,PHEV,0,0,0,0,0,231,463,966,1509,3852,6507,8196,10643,14944
Mercedes,AMG GT Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Mercedes,EQB,EV,0,0,0,0,0,0,0,0,0,0,0,1672,13979,8885
Mercedes,EQE,EV,0,0,0,0,0,0,0,0,0,0,0,384,19104,11660
Mercedes,EQS,EV,0,0,0,0,0,0,0,0,0,0,443,10365,14499,6963
Mini,Cooper SE EV,EV,0,0,0,0,0,0,0,0,0,1494,2297,2601,3565,3218
Mini,Countryman Plug-in Hybrid,PHEV,0,0,0,0,0,0,475,1564,494,749,1219,1233,2128,0
Mitsubishi,i-MiEV,EV,76,588,1029,196,115,94,6,0,0,0,0,0,0,0
Mitsubishi,Outlander Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,4166,2810,1964,2250,1961,6681,6975
Nissan,Ariya,EV,0,0,0,0,0,0,0,0,0,0,0,0,13464,19798
Nissan,LEAF,EV,9674,9819,22610,30200,17269,14006,11230,14715,12365,9564,14239,12025,7152,11226
Porsche,Macan Electric,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,831
Porsche,Panamera 4 E-Hybrid,PHEV,52,570,113,0,0,0,0,0,0,310,426,549,715,876
Porsche,Taycan,EV,0,0,0,0,0,0,0,0,130,4414,9419,7271,7570,4747
Porsche,Cayenne E-Hybrid,PHEV,0,0,0,112,1163,2111,1574,1022,1140,1447,1729,2755,3480,4935
Rivian,R1S,EV,0,0,0,0,0,0,0,0,0,0,0,800,23437,19712
Rivian,R1T,EV,0,0,0,0,0,0,0,0,0,0,0,9900,19410,15799
Smart,EQ Fortwo,EV,342,139,923,2594,1387,657,544,1219,680,0,0,0,0,0
Subaru,Crosstrek Hybrid,PHEV,0,0,0,0,0,0,0,0,880,1915,2600,2308,2499,0
Subaru,Solterra,EV,0,0,0,0,0,0,0,0,0,0,0,94,8872,12447
Tesla,Cybertruck,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,27185
Tesla,Model 3,EV,0,0,0,0,0,0,1770,139782,154840,206500,121610,195698,232702,142100
Tesla,Model S,EV,0,2400,19400,16750,26200,30200,26500,25745,15090,20301,11556,90473,26701,15901
Tesla,Model X,EV,0,0,0,0,208,19600,21700,26100,19425,26100,7305,24099,24700,21099
Tesla,Model Y,EV,0,0,0,0,0,0,0,0,0,40001,161527,225799,385897,313699
Toyota,bZ4X,EV,0,0,0,0,0,0,0,0,0,0,27707,1220,9329,18570
Toyota,Prius Prime,PHEV,0,12749,12088,13264,4191,2474,20936,27595,23630,14698,25042,11857,7557,12672
Toyota,RAV4 EV,EV,0,192,1005,1184,18,0,0,0,0,0,0,0,0,0
Toyota,RAV4 Prime,PHEV,0,0,0,0,0,0,0,0,0,3200,27707,18567,26073,31093
Volkswagon,e-Golf,EV,0,0,0,357,4232,3937,3534,1354,4863,767,0,0,0,0
Volkswagon,ID.4,EV,0,0,0,0,0,0,0,0,0,0,16742,20511,37789,17021
Volvo,C40 Recharge,EV,0,0,0,0,0,0,0,0,0,0,42,3780,6589,1420
Volvo,EX30,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,240
Volvo,EX90,EV,0,0,0,0,0,0,0,0,0,0,0,0,0,858
Volvo,S60 Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,158,956,1055,800,1761,2866
Volvo,S90 Plug-in Hybrid,PHEV,0,0,0,0,0,0,112,437,407,152,61,167,247,300
Volvo,V60 Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,105,46,16,102,207
Volvo,V60 CC Plug-in Hybrid,PHEV,0,0,0,0,0,0,0,0,0,286,260,164,231,422
Volvo,XC40 Recharge,PHEV,0,0,0,0,0,0,0,0,0,0,2680,2412,4784,5843
Volvo,XC60 Recharge,PHEV,0,0,0,0,0,0,356,2267,1682,0,4158,4703,6749,8556
Volvo,XC90 Recharge,PHEV,0,0,0,0,86,2015,2358,1387,1710,0,3865,4433,6786,8688
